Time,RPM
0.011988688,0
0.024168492000000003,0
0.036220246000000005,1
0.048797189000000005,1
0.061900391000000006,1
0.07524485,2
0.08854614000000001,1
0.101808098,1
0.11512609300000001,1
0.128620953,1
0.142034828,2
0.15545819500000002,1
0.168918698,1
0.18255104100000002,2
0.19595503,2
0.209251404,1
0.222704709,1
0.23609195100000002,2
0.24958185100000002,2
0.262912657,3
0.27640126200000004,4
0.289865085,5
0.30323397700000004,6
0.31654998,7
0.32999552000000004,8
0.34336098000000004,8
0.356112606,9
0.368903651,10
0.38216869400000003,11
0.395599238,12
0.408894283,13
0.422123046,14
0.43554896600000004,15
0.44902459800000005,16
0.462366068,17
0.475565328,18
0.48899222400000003,19
0.502272216,20
0.515127764,21
0.528058589,22
0.5409642530000001,23
0.554019774,24
0.567125478,25
0.580379736,25
0.593618383,26
0.606925302,27
0.619484294,28
0.631566461,29
0.643998736,30
0.6560782350000001,31
0.669017819,33
0.6823662930000001,34
0.6957604470000001,35
0.7088897070000001,37
0.722321843,39
0.735725862,40
0.749020633,43
0.762446367,45
0.775862578,47
0.7891673530000001,50
0.8025055090000001,51
0.815883676,53
0.829265008,54
0.842627737,55
0.8557738540000001,56
0.869055958,56
0.8827038540000001,57
0.8960971940000001,59
0.9092743710000001,62
0.9226476610000001,65
0.9362635960000001,69
0.9497345920000001,73
0.9633294590000001,77
0.976746902,81
0.9899812560000001,83
1.003400678,82
1.016790611,78
1.030333894,76
1.043758017,75
1.057002325,74
1.070149426,73
1.083555584,74
1.0971223220000001,75
1.110490068,77
1.123688599,78
1.13694171,79
1.149772682,80
1.163238813,82
1.176761567,83
1.19009585,84
1.203396031,85
1.216758491,86
1.230323126,85
1.2436819380000002,83
1.256798464,80
1.2700956350000001,78
1.2835472920000002,77
1.296899539,79
1.31008998,81
1.3235481690000002,85
1.33694369,88
1.3502595210000001,91
1.363651449,91
1.3770850090000002,88
1.3900570220000001,85
1.403294258,82
1.41671155,80
1.429914421,79
1.443185272,79
1.456681453,81
1.4699457900000001,83
1.483353696,85
1.4967632160000002,87
1.510111991,90
1.5235581100000002,93
1.5369772860000002,96
1.5502040380000002,98
1.5636537560000001,100
1.5771034650000002,100
1.590201862,98
1.603580677,96
1.6167919080000002,95
1.6301771010000001,96
1.6435122500000001,100
1.656963369,106
1.670114826,111
1.6835355,114
1.6971822680000002,113
1.7102769690000001,108
1.7232031030000001,105
1.736192237,103
1.74943456,102
1.762721345,104
1.776051387,106
1.7894342040000002,107
1.802701952,110
1.816213784,115
1.8295027620000002,119
1.8427582240000002,123
1.8558994450000001,125
1.868903462,122
1.8823514350000001,119
1.8957140380000002,120
1.9090598870000002,125
1.922124525,132
1.935454817,139
1.948378965,139
1.9619130340000002,134
1.9751353370000002,132
1.9882708590000002,132
2.001487673,134
2.014533564,137
2.027722481,139
2.04081453,141
2.0540439210000003,145
2.067140281,148
2.0804523980000003,147
2.093894282,143
2.106885364,140
2.12024123,142
2.1335961080000003,147
2.146736653,151
2.160015409,149
2.173319279,143
2.186468516,140
2.1995324970000003,139
2.212506163,140
2.2254021550000003,143
2.238617988,145
2.2519345210000004,148
2.264838991,150
2.278253867,149
2.2914036180000004,145
2.304792319,141
2.317851274,141
2.330684831,145
2.343936529,150
2.3568458100000003,150
2.370302911,144
2.3836978220000002,138
2.397349588,136
2.4104787510000003,138
2.423658477,141
2.4371237580000003,144
2.4502452000000003,148
2.463421766,153
2.476720281,154
2.4902016490000003,152
2.5033948720000003,147
2.5167730820000003,145
2.530167081,150
2.543556449,157
2.55700327,161
2.570335801,157
2.583664788,150
2.5963774130000004,148
2.608498855,149
2.6207015080000002,152
2.633525299,156
2.6466569250000003,162
2.659984638,168
2.673318762,172
2.6866072190000003,169
2.7000927800000003,162
2.713260285,161
2.7267205590000003,167
2.740143793,173
2.753574866,171
2.767008103,163
2.7804956620000003,159
2.7938936080000003,161
2.806888534,163
2.820100881,169
2.8334351690000004,175
2.84694096,180
2.8601271120000002,182
2.873524424,178
2.8868886170000003,176
2.900325026,181
2.913378164,186
2.926447,184
2.939356284,178
2.9525142620000002,176
2.965756132,178
2.978991059,180
2.9923102110000004,186
3.0057856590000003,194
3.019133703,200
3.032447313,199
3.045696119,197
3.058982562,200
3.07258126,205
3.0858750870000002,197
3.099353531,188
3.112800468,185
3.126232464,188
3.139832972,189
3.1532706900000003,193
3.1667782690000004,198
3.1803068160000003,198
3.193571191,195
3.206942144,197
3.220449271,206
